ranks,channel_info,influence_score,total_post,followers_clean,avg_likes_clean,60_eng_rate_clean,post_avg_like_clean,total_likes_clean,country
172,eminem,84,660,36400000,36400000,0.000269,962700,730100000,United States
173,mercedesbenz,77,10000,36000000,36000000,0.000018,64600,2000000000,British Virgin Islands
174,colesprouse,81,1200,35900000,35900000,0.000234,834500,2600000000,Unknown
175,nattinatasha,47,30,35900000,35900000,0.00008,285900,18700000,Czech Republic
176,shahidkapoor,82,1100,35600000,35600000,0.000254,780000,1500000000,Unknown
177,tigerjackieshroff,83,2100,35600000,35600000,0.00012,422900,2200000000,India
178,kimberly.loaiza,78,590,35500000,35500000,0.000523,1800000,1600000000,Mexico
179,barackobama,81,660,35400000,35400000,0.000119,411500,739500000,United States
180,sachintendulkar,76,1000,35300000,35300000,0.000203,664500,810000000,Unknown
181,simonemendes,72,4400,35000000,35000000,0.000065,222900,1900000000,Brazil
182,ivetesangalo,84,7600,34800000,34800000,0.000036,121100,1700000000,Brazil
183,lunamaya,83,4100,34800000,34800000,0.000017,58600,589600000,Unknown
184,toni.kr8s,83,940,34700000,34700000,0.000168,533500,561300000,Unknown
185,dannapaola,68,1900,34700000,34700000,0.000349,1200000,2800000000,Mexico
186,paollaoliveirareal,84,4600,34700000,34700000,0.000057,192300,1700000000,Unknown
187,blakelively,80,110,34600000,34600000,0.000002,FALSE,350900000,United States
188,adidasoriginals,83,150,34200000,34200000,0.00002,66800,21200000,Unknown
189,disney,77,7300,34200000,34200000,0.000044,132000,1400000000,United States
190,shaymitchell,83,6300,34100000,34100000,0.000073,247500,4600000000,United States
191,bmw,79,9300,33700000,33700000,0.000023,76500,2200000000,Germany
192,danbilzerian,84,1400,33600000,33600000,0.000358,1200000,2800000000,Canada
193,khabib_nurmagomedov,63,4500,33500000,33500000,0.000067,220700,3100000000,Russia
194,zidane,41,370,33500000,33500000,0.000161,532700,391900000,France
195,sonamkapoor,75,4800,33300000,33300000,0.000063,209200,1300000000,India
196,iambeckyg,71,2300,33200000,33200000,0.00014,464700,1400000000,United States
197,nancyajram,81,3800,33200000,33200000,0.000064,208000,1500000000,France
198,luansantana,79,770,33200000,33200000,0.000026,82600,149200000,Brazil
199,nickjonas,78,2300,33000000,33000000,0.000142,467700,1700000000,United States
200,raisa6690,80,4200,32800000,32800000,0.00003,97400,969100000,Indonesia
